Time,f_gap_control_complete_time,s_gap_control_complete_time,f_gap_control_additional_ds,f_gap_control_additional_os,s_gap_control_additional_ds,s_gap_control_additional_os,handshake,fds_pos_val,fws_pos_val,sds_pos_val,sws_pos_val,fds_under_roll_pv,fws_under_roll_pv,sds_under_roll_pv,sws_under_roll_pv,fds_under_roll_sv,fws_under_roll_sv,sds_under_roll_sv,sws_under_roll_sv,speed_pv,a_bobin_model_1,a_bobin_model_2,a_bobin_model_3,a_bobin_model_4,a_bobin_model_5,a_bobin_model_6,a_bobin_model_7,a_bobin_model_8,b_bobin_model_1,b_bobin_model_2,b_bobin_model_3,b_bobin_model_4,b_bobin_model_5,b_bobin_model_6,b_bobin_model_7,b_bobin_model_8,fds_rev_back_up,fws_rev_back_up,sds_rev_back_up,sws_rev_back_up,fds_rev_pv,fws_rev_pv,sds_rev_pv,sws_rev_pv,fds_load_cell_pv,fws_load_cell_pv,sds_load_cell_pv,sws_load_cell_pv,f_gap_control_offset_low,f_gap_control_offset_high,s_gap_control_offset_low,s_gap_control_offset_high,f_range,s_range,f_gap_control_range_lower,s_gap_control_range_lower,f_gap_control_range_upper,s_gap_control_range_upper,f_window_popup_confirm,f_window_popup_number,s_window_popup_confirm,s_window_popup_number,f_control_inch,s_control_inch,control_inch,control_freq,f_load_cell_back_up,s_load_cell_back_up,pre_press_time_para,pre_press_rev_control_t1,pre_press_rev_control_t2,pre_press_rev_control_t3,pre_press_rev_control_t4,f_pre_press_rev_control_val1,s_pre_press_rev_control_val1,f_pre_press_rev_control_val2,s_pre_press_rev_control_val2,f_pre_press_rev_control_val3,s_pre_press_rev_control_val3,f_pre_press_rev_control_val4,s_pre_press_rev_control_val4,f_pre_press_rev_control,s_pre_press_rev_control,loadcell_zero_set,heartbeat,a_bobin_type,b_bobin_type,thickness_alarm,f_pre_press_complete,s_pre_press_complete,pre_press_on,pre_press_stop,run,low,f_interlock,s_interlock,f_gap_control_up,f_gap_control_down,s_gap_control_up,s_gap_control_down,f_actual_run,s_actual_run,f_actual_low,s_actual_low,f_gap_control_mode_both,f_gap_control_mode_ds,f_gap_control_mode_os,s_gap_control_mode_both,s_gap_control_mode_ds,s_gap_control_mode_os
2023-12-13 09:03:29.613,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:30.621,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:31.628,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:32.634,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:33.644,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:34.649,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:35.650,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:36.656,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:37.662,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:38.672,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:39.680,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:40.683,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:41.695,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:42.705,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:43.713,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:44.724,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:45.725,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:46.735,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:47.745,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:48.749,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:49.757,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:50.766,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:51.777,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:52.787,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:53.794,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:54.809,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:55.818,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:56.826,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:57.839,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:58.847,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:03:59.856,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:00.865,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:01.879,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:02.895,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:03.902,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:04.914,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:05.925,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:06.933,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:07.944,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:08.950,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:09.962,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:10.971,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:11.983,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:12.992,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:14.004,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:15.012,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:16.019,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:17.032,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:18.039,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:19.048,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:20.054,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:21.063,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13 09:04:22.069,0,0,0,0,0,0,0,3,3,3,3,100,100,100,100,100,100,100,100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,100,100,100,100,500,500,500,500,1,1,1,1,-372,-372,-403,-398,-401,-396,1,91,1,91,0,0,1,20,-402,-397,1,5,10,20,30,5,5,10,10,20,20,30,30,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
